etiquetas,Area,Eccentricity,Solidity,Extent,Perimeter,MajorAxisLength,MinorAxisLength,Circularity,Elongation,roundnessCH,convexity,circleVariance,ellipVariance,Mean_Green,Mean_Red,Mean_Blue,Std_Green,Std_Red,Std_Blue,Skewness_G,Skewness_R,Skewness_B,Kurtosis_G,Kurtosis_R,Kurtosis_B,Entropy_G,Entropy_R,Entropy_B
Drepanocits,44657,0.691846511,0.994211546,0.729022463,763.268,280.989451,202.8869161,0.963263931,0.277955399,0.961887276,1.000715345,0.114186219,0.060732516,38751.43355,40374.31516,42159.20998,3392.333241,2512.279706,3471.028624,1.188758278,0.316628819,0.854613394,4.504361731,3.563255429,3.443543501,5.552023488,5.294693265,5.671051144
Drepanocits,36274,0.922222908,0.982103696,0.693151418,817.571,348.1513497,134.6157291,0.681952862,0.613341355,0.683528739,0.998846583,0.31984254,0.049151892,39159.92369,39675.25081,43330.31438,2571.199141,2265.845093,2545.228974,0.224885399,0.084919413,0.236274834,2.350074022,2.64709834,2.545702379,5.326432844,5.179344646,5.329991719
Drepanocits,53259,0.899426708,0.976441038,0.570102762,962.863,396.2031265,173.1691408,0.721894736,0.562928384,0.75987424,0.974689026,0.275295091,0.105110127,41792.51011,42898.57158,45757.12469,2146.08597,1866.000843,2144.662857,0.37921924,-0.02453553,0.275280302,2.326280922,3.35594564,2.314474322,5.021834659,4.89047242,5.045695627
Drepanocits,49480,0.831772944,0.980151341,0.664205651,860.779,338.7682911,188.0556977,0.839182133,0.444884003,0.848055323,0.994754751,0.20856924,0.074001221,39972.48181,40996.21439,42195.07195,3091.796148,2755.323617,3011.467942,-1.219982374,-1.208749991,-0.355691891,10.38529968,8.34997396,3.911723851,5.472348903,5.339192228,5.521899194
Drepanocits,60163,0.807833719,0.993707056,0.738921641,914.204,360.6390051,212.5643996,0.904592773,0.410589546,0.904953054,0.99980092,0.184434195,0.080500801,39274.99546,41774.03228,45297.79991,2080.436036,1846.387695,2040.843792,0.434311536,0.148306524,0.47588939,3.27405624,3.639450138,3.22554229,5.036395513,4.879281473,5.001882997
Drepanocits,63871,0.834216714,0.986744736,0.701262626,957.674,384.7635664,212.1727654,0.875141313,0.448563264,0.878036145,0.998350169,0.207236681,0.13896894,41836.44734,42254.36495,45743.88502,3021.832516,2321.032905,2548.013674,0.922940404,0.394282314,0.60229029,3.206104077,3.288487945,2.734201702,5.352358924,5.151145435,5.251251075
Drepanocits,58188,0.898905004,0.983919241,0.693085582,1005.428,413.5804191,181.2076038,0.723338103,0.561856424,0.733716207,0.992902525,0.286617431,0.057050327,42929.70839,43838.20417,44520.10971,1672.166249,1736.88751,1844.534787,0.404748744,0.081616219,0.281942167,2.818953407,2.882305619,2.805233258,4.715249225,4.801908609,4.872231924
Drepanocits,50788,0.898956127,0.983539254,0.713986476,929.998,387.101325,169.5653518,0.737916032,0.561961324,0.743604492,0.996167734,0.288224714,0.04864074,35441.50618,36873.14799,40419.08703,4468.346951,3249.106195,4328.906003,0.362331883,0.258606712,0.160040117,2.133241707,2.491740944,1.994409487,6.04057709,5.660525017,6.015152326
Drepanocits,53824,0.945320675,0.968405901,0.436482771,1073.584,470.1054957,153.3213036,0.58683198,0.673857666,0.587184155,0.99970007,0.366030452,0.044184369,40616.11058,42302.31778,43015.69411,2699.81666,2248.366955,2645.216467,0.937787875,0.411696751,0.615653822,3.26513872,2.763984699,2.839202112,5.234712132,5.133210561,5.314458437
Drepanocits,51236,0.837913002,0.989188354,0.66068343,861.228,346.1888448,188.9511913,0.86805811,0.454196188,0.87113035,0.998235078,0.205274889,0.040024872,41244.63893,40714.8736,44154.93544,2290.172645,1939.426224,2401.787044,0.745449328,0.054486126,0.394375524,3.425709013,3.602264381,2.715636508,5.118402937,4.953264315,5.229239101
Drepanocits,43716,0.915595109,0.979301075,0.713101918,911.404,381.2704377,153.3094052,0.661345527,0.597898525,0.674982906,0.989846435,0.323909252,0.045196835,41363.16113,42653.2982,45032.85205,2618.720458,2007.788762,2534.158394,0.101773167,-0.011673647,0.015067271,2.076315467,2.587269349,2.207811309,5.320180564,5.003345505,5.303830507
Drepanocits,46693,0.936845294,0.975412576,0.595528403,938.826,414.9156611,145.1142809,0.665719725,0.650255957,0.669087904,0.997479831,0.340898424,0.06653682,40706.12657,43553.02011,41751.21342,2466.606479,2146.267301,2601.610704,0.59866799,0.293311972,0.461522038,3.255220317,3.419549098,3.100273338,5.245099816,5.0910071,5.347266997
Drepanocits,45476,0.937199788,0.968997038,0.502175401,921.076,410.6668214,143.2377125,0.673598621,0.651207,0.680223088,0.995118752,0.339804459,0.036327778,41398.9737,41071.10599,45504.40883,1540.56524,1494.014793,1702.855257,0.75759202,-0.0441112,0.507084159,3.92230979,3.284548117,3.239893134,4.557324615,4.582753407,4.72986049
Drepanocits,43636,0.825594496,0.991637124,0.788251021,787.454,313.9814585,177.1683964,0.884309744,0.435736119,0.882676922,1.000924498,0.201305973,0.04631372,37824.94454,38943.60216,43234.21139,2386.731601,2106.807923,2299.011088,0.452214975,0.120510855,0.383633755,2.594052619,3.031344195,2.671865192,5.188946572,5.074354215,5.166877793
Drepanocits,65151,0.598886191,0.993352341,0.761643675,925.048,323.2552024,258.873804,0.956758685,0.199165854,0.958266376,0.999213014,0.093527984,0.133004005,38940.83124,40082.69061,42524.89534,1980.925084,1861.170513,2034.860377,0.719562008,0.471670734,0.601012181,3.446734702,3.682191073,3.432931201,4.914117264,4.872981065,4.983444279
Drepanocits,49052,0.898312671,0.984248651,0.667510376,896.098,379.0907725,166.5560857,0.767636413,0.560643261,0.771920345,0.997221286,0.2790758,0.031485288,40309.60189,40874.88673,43826.43171,2368.669958,1955.092196,2380.641806,0.059226448,-0.039773385,0.108548046,2.382723506,2.785027425,2.524252395,5.227377908,4.972514052,5.243638098
Drepanocits,36111,0.910803241,0.989396679,0.558172965,789.964,334.5175899,138.1024812,0.727168033,0.587159284,0.727168033,1,0.291874766,0.057486092,38932.53358,40246.83227,42529.73997,3450.146425,2713.055275,3748.102971,0.252151109,0.076403081,0.156320976,2.116869716,2.497236459,2.073490164,5.696143625,5.429323129,5.828684349
Drepanocits,42034,0.940612235,0.979608008,0.716008585,889.77,398.4611197,135.2707271,0.667198508,0.660517123,0.66820445,0.999246996,0.350543533,0.040419558,41120.8416,41873.63182,45282.99263,1626.784906,1690.827102,1723.530322,0.305512155,-0.149416496,0.349083731,2.840648963,3.766818047,3.185066448,4.691110134,4.75261394,4.776316247
Drepanocits,46612,0.946800176,0.975799699,0.44037564,983.74,434.0294392,139.6802408,0.605266922,0.678177957,0.609211529,0.996757273,0.358312928,0.064299164,42662.9788,44946.19789,43625.03939,2342.630487,2032.21188,2590.2826,0.310803663,0.160689416,0.328540088,2.560216923,2.881726324,2.654026561,5.197554535,5.025053477,5.348380092
Drepanocits,23059,0.628864454,0.99285253,0.643602769,572.654,197.9630426,153.9192253,0.883620405,0.222485049,0.881378035,1.001271274,0.133646469,0.030021238,41564.11848,43218.31337,43162.3831,2559.036914,2297.354962,2678.672787,0.496408041,-0.969832416,0.525471362,3.490045825,6.63826221,3.07903695,5.302921718,5.100151038,5.370840782
Drepanocits,45484,0.886250369,0.992147282,0.5952624,846.2,355.9314003,164.8697464,0.798219757,0.536793477,0.797548551,1.000420704,0.255974785,0.043401475,38608.88752,39872.97441,41700.20895,2965.970924,2669.032082,3058.38989,0.096811956,-0.037953485,0.056686653,2.024013932,2.265834174,2.148834863,5.489834595,5.386392723,5.564414193
Drepanocits,47432,0.910393748,0.983393113,0.671689136,898.688,384.2064409,158.9627036,0.738011987,0.586257057,0.737916736,1.000064539,0.30120763,0.033233899,38574.67364,40353.56418,41643.88936,3179.735372,2529.480113,3326.942845,0.025535347,-0.066490611,0.063724174,1.988399048,2.317939942,2.167838053,5.583146748,5.314070445,5.688340065
Drepanocits,45241,0.934307547,0.974412544,0.534965945,900.744,403.955184,143.9970814,0.700711595,0.643532038,0.704419839,0.997364401,0.333009723,0.051981909,39862.26441,40924.27594,42459.04273,1965.512342,1835.199019,2099.867561,0.618963467,0.137124588,0.479854131,3.16023997,3.050015665,3.087124669,4.915035273,4.87944005,5.037820979
Drepanocits,36624,0.838276321,0.983168237,0.777744744,742.587,293.8334015,160.2113817,0.834604948,0.454754358,0.840623276,0.996413888,0.214633572,0.041514753,38859.42377,40091.84709,41813.91131,2139.364997,1907.732898,2178.639356,0.570806191,0.194111629,0.391908104,3.151439685,2.930208731,3.143991999,5.047776182,4.931744876,5.104804256
Drepanocits,42883,0.874375283,0.989181583,0.716627674,824.338,337.8009376,163.9180101,0.793020444,0.514749689,0.793624931,0.999619088,0.255628356,0.033776787,43072.30819,43460.31985,45183.14297,1470.771158,1529.391049,1595.044474,0.171710038,-0.109668037,-0.044251119,2.906830228,2.987199334,2.94128367,4.560688488,4.620267471,4.680683245
Drepanocits,51686,0.897062222,0.972748146,0.618364539,924.196,387.652991,171.3055062,0.760421904,0.558095745,0.771053988,0.993081554,0.278588085,0.080519466,41884.96258,42832.54297,46098.36598,2159.167844,1896.019242,2276.971671,0.034752787,-0.226060445,0.169161425,2.369358265,3.184776323,2.4550067,5.090499818,4.916270053,5.170679145
Drepanocits,51255,0.959134569,0.958736275,0.458329607,1045.45,487.8592868,138.0399375,0.589304243,0.717049688,0.591783231,0.997903295,0.394519962,0.032364868,37261.91474,39490.62437,43044.57789,2818.040072,2260.093156,2739.550412,0.831689996,0.52638948,0.588947229,3.270249007,3.248634203,2.714459878,5.366194268,5.140741389,5.357596408
Drepanocits,44562,0.901492262,0.988640902,0.579171053,853.904,363.0484647,157.1256397,0.767991551,0.567204781,0.768675543,0.999554985,0.275398067,0.039501538,39750.60078,40619.32768,43879.81868,2664.660837,2306.642679,2531.232387,0.113780507,-0.273475241,0.200696195,2.349831083,4.000881056,2.204029955,5.376805187,5.181911357,5.284630482
Drepanocits,55469,0.843990753,0.972457924,0.729855263,957.347,364.0295586,195.2500658,0.760538912,0.463642275,0.809108973,0.969520978,0.222194297,0.040099104,40459.26597,41383.49997,43923.18073,2135.521757,1877.983537,2166.222416,0.58599015,0.142008156,0.386855728,3.807401963,3.250449002,3.062984999,5.059652478,4.912762409,5.101056788
Drepanocits,43368,0.735959806,0.934715607,0.644292909,942.012,290.951417,196.9814505,0.614138591,0.322974768,0.860047762,0.845029575,0.153074173,0.025987757,42729.18982,43160.49659,46894.5523,1997.35394,1832.13453,2008.846616,0.282736908,-0.2745883,0.160458027,2.344962408,4.279323263,2.379766263,4.94960908,4.85768033,4.979345048
Drepanocits,56766,0.952639802,0.970176548,0.583148422,1074.89,490.1515109,149.0555567,0.617404957,0.695899016,0.618871106,0.998814762,0.380205561,0.045396011,40122.99757,39569.78417,44364.35049,3173.686676,2629.954869,2870.486509,0.067137513,-0.099058048,-0.097306811,2.219221131,2.584510967,2.372559711,5.622424727,5.391627223,5.499816624
Drepanocits,50308,0.820218343,0.847949569,0.560534819,1109.852,361.2580028,206.6578511,0.513235606,0.427949417,0.702306777,0.854859927,0.307762093,0.040149218,35333.52501,35675.99078,42582.79081,3645.675067,3308.025138,3187.113881,0.24694282,0.158556397,0.168085472,2.111481556,2.321934971,2.165662938,5.780613828,5.694216181,5.61713133
Drepanocits,59584,0.786562719,0.991628805,0.817025011,903.452,351.0219742,216.7597182,0.917337931,0.382489604,0.919204996,0.998983897,0.174674473,0.08349205,44865.58163,46746.73362,45099.24463,1955.329314,1544.366888,1996.085384,0.644885151,0.074087494,0.406634678,3.325039101,2.948589971,3.07285649,4.910059681,4.633470425,4.978458695
Drepanocits,51655,0.911971478,0.984805155,0.704399171,937.557,404.4389228,165.9225276,0.738459817,0.589746391,0.738042544,1.000282649,0.306305821,0.058178025,40243.76157,41262.65848,44192.89486,1723.296745,1857.632595,1834.564824,0.686950027,0.332404032,0.464471738,3.506144266,3.240481732,3.161116586,4.728239121,4.881550427,4.849825572
Drepanocits,17937,0.667965888,0.914080416,0.598858173,573.775,181.0222891,134.7153199,0.684662322,0.255808107,0.794472869,0.928322077,0.167004854,0.042475855,43505.32018,44429.8342,47161.82907,1462.064918,1390.991993,1471.24519,0.259827624,-0.123187622,-0.022210615,2.71433277,3.039893857,2.758827219,4.539421553,4.480506891,4.559272225
Drepanocits,46399,0.902238798,0.980930636,0.674865097,877.689,372.0539427,160.4433405,0.75689768,0.56876323,0.762954902,0.996022509,0.283262035,0.02964143,38240.62139,40001.93073,42386.43074,3481.064037,2611.817229,3348.417174,0.509838168,0.20948851,0.258572443,2.28089936,2.67407902,2.14449309,5.652451865,5.363917514,5.663034546
Drepanocits,50682,0.899756309,0.990501876,0.648771121,907.516,385.2017369,168.0992239,0.773312495,0.563607305,0.774356546,0.999325632,0.281528946,0.042227071,39120.00631,40965.32765,43006.71544,2342.13756,1841.95106,2442.183794,0.891190137,0.38163041,0.630405254,3.461937902,3.479203352,3.076404253,5.088551415,4.867861243,5.219194001
Drepanocits,45620,0.882327453,0.987445887,0.619921185,852.632,353.3324765,166.2909915,0.788572974,0.529363977,0.790533646,0.998759136,0.254580084,0.087065084,39159.33468,41148.96589,40872.81859,3230.334114,2805.578756,3411.740926,0.835831019,0.443975568,0.722333698,3.256709984,3.93573338,3.118097413,5.553405181,5.439620697,5.674204909
Drepanocits,58053,0.923895331,0.988876776,0.652031808,1008.37,439.9004444,168.3258332,0.717455053,0.61735471,0.716948733,1.000353045,0.31682757,0.037171437,36993.51145,38753.4125,42477.87064,2372.11712,2013.377087,2374.742493,1.333403818,0.640976766,0.864633758,5.24481244,4.131934291,3.576815001,5.02835969,4.956453834,5.129188717
Drepanocits,46695,0.941911879,0.989993004,0.635306122,959.688,422.579137,141.9274752,0.637118352,0.664139891,0.636635322,1.00037929,0.357468708,0.066902217,37654.95064,38990.55608,42818.28444,3768.280697,2750.270701,3657.965186,0.107638351,0.072942669,-0.005521138,2.042434085,2.388872256,2.041845083,5.829128944,5.442112983,5.799474741
Drepanocits,45072,0.940506465,0.930374652,0.645776918,970.124,424.5805492,144.2621932,0.601813875,0.660224206,0.608350517,0.99461306,0.371388181,0.056044356,40338.37238,39724.6656,44786.15442,2802.156247,2477.598783,2548.434414,0.290232986,-0.12409242,0.193059914,2.347747459,3.619439042,2.301677535,5.432915504,5.296542159,5.310432683
Drepanocits,55150,0.901055189,0.98690097,0.774578652,942.38,403.1141046,174.8323795,0.780374841,0.566295554,0.783521126,0.997990195,0.286171573,0.037694204,38950.69476,40042.49153,43435.68508,2545.734033,2111.192431,2599.359501,0.114538164,0.071206249,0.144480956,2.164695987,2.589291863,2.3422945,5.286074728,5.074834533,5.348237785
Drepanocits,32977,0.909587049,0.937245986,0.478537845,814.901,330.2703049,137.2317435,0.624038389,0.584486581,0.632134078,0.993575907,0.319270848,0.027254654,41351.80471,41898.80268,45194.78861,2677.137384,2101.432099,2474.647261,-0.158403795,-0.378343189,-0.19730965,2.143158959,3.28535808,2.317167335,5.361004861,5.057797442,5.270984407
Drepanocits,40647,0.759864771,0.915328664,0.71974714,901.647,286.6187707,186.3254661,0.628297422,0.349918829,0.815125718,0.877951127,0.171212093,0.054541331,39854.38256,40042.59621,43781.6754,2879.432856,2172.920927,2714.200666,0.036618024,-0.073016622,-0.118579132,1.913074222,2.516282308,2.124094736,5.416783341,5.113259014,5.381529596
Drepanocits,57828,0.919454994,0.991325813,0.533281691,985.044,433.138172,170.3078769,0.748922324,0.606804738,0.748104918,1.000546168,0.296656841,0.036997349,38334.2367,39852.40672,43222.90102,2433.265136,1914.385492,2383.107404,0.298153205,0.127014997,0.208039766,2.588080271,2.861000246,2.636935453,5.245777371,4.940112653,5.241401939
Drepanocits,55993,0.913008328,0.984371154,0.66675796,964.776,418.593693,170.761496,0.75594573,0.59205908,0.757282662,0.999116893,0.299959626,0.047349994,40533.66242,41804.58272,44504.79567,2570.815408,2040.69304,2422.254909,0.246560217,-0.168878551,0.214676208,2.699984795,3.801303193,2.695872175,5.34196246,5.020014788,5.264466656
Drepanocits,56529,0.967891221,0.973848778,0.439633852,1145.6,538.8645072,135.4540584,0.541271496,0.748630581,0.544048974,0.997444134,0.414956508,0.032368399,34117.67411,37099.40484,39469.96833,3759.45527,3122.37387,3521.099529,0.942336815,0.513232442,0.634462946,3.269785175,2.851505176,2.514367991,5.698063004,5.573746939,5.658375771
Drepanocits,39982,0.896924866,0.974315235,0.556449368,829.294,345.4838636,152.7670833,0.730562427,0.557817023,0.737236034,0.995463611,0.279626153,0.094706295,41183.71347,44713.70557,42316.53764,2776.440965,2369.619888,2729.273322,0.064819722,-1.973675063,0.515564839,3.996911014,14.75619999,2.809915681,5.395004899,5.024144476,5.391590674
Drepanocits,41483,0.92544754,0.973071239,0.617692605,878.485,379.2999785,143.7075722,0.675478173,0.621124228,0.682425376,0.994896896,0.330992518,0.084181117,38001.41166,38072.08273,42699.00133,3296.345094,2662.45616,3105.342087,0.118516995,-0.036352084,0.031530396,1.943433001,2.374710957,2.049473469,5.61370697,5.394612484,5.566295558
Drepanocits,52406,0.607599451,0.980632847,0.755946628,845.822,291.6144316,231.6128981,0.920519351,0.205756393,0.934409101,0.992539802,0.099474343,0.158866652,41370.65954,41671.90016,45063.87543,1652.10388,1634.237817,1748.044394,0.639019544,0.10378582,0.359042777,2.972073711,3.219748577,2.809144811,4.644452057,4.710937188,4.783410297
Drepanocits,44289,0.936010304,0.980843336,0.511231416,917.116,402.1576844,141.5484857,0.661694002,0.6480274,0.664159725,0.998142002,0.339518636,0.065161673,42654.18321,42269.52462,46589.58893,1838.340399,1714.071932,1592.692987,0.158541066,0.016708346,0.004393459,2.801374386,3.519167473,2.768967589,4.877359449,4.778680084,4.676401482
Drepanocits,68767,0.878737353,0.987705212,0.714714808,1034.502,429.3603363,204.9361055,0.807471631,0.522694371,0.810618576,0.998057036,0.253331092,0.04099337,42794.55227,43619.15547,44730.21909,1908.28088,1786.783099,1946.263746,0.63456177,0.197551925,0.318090529,2.987761168,2.907608268,2.787762798,4.857520776,4.838202577,4.945533041
Drepanocits,51790,0.947085684,0.986382249,0.686505832,1030,455.3366765,146.1543548,0.613453044,0.679019147,0.615507001,0.998330097,0.364912397,0.07469157,39992.68863,40870.99533,44040.23078,1693.49523,1443.975006,2036.750843,1.169061476,0.027634416,0.638487291,4.555819949,3.335289399,3.082813366,4.580808493,4.53316867,4.947898007
Drepanocits,37643,0.930234046,0.963623797,0.466040212,881.17,366.0784857,134.3386443,0.609220749,0.633033217,0.612098738,0.997646311,0.334527852,0.027202371,40610.71222,41251.95038,44858.50161,2336.819633,1734.001145,2261.210333,0.43114951,0.096717019,0.116990564,2.407227803,3.148153053,2.249940455,5.140618987,4.797369451,5.139561035
Drepanocits,52963,0.917738345,0.966002152,0.660913946,949.672,414.7346395,164.7265901,0.737963996,0.602814488,0.740994556,0.997952977,0.31425421,0.053906002,36257.49659,34398.05751,42490.01152,3499.300993,4039.73868,2966.062752,-0.347704034,-1.289023838,-0.317235935,3.020783287,8.474664474,2.690937742,5.760262356,5.856821412,5.528089618
Drepanocits,54035,0.918075238,0.992870661,0.529391594,968.98,419.7392333,166.3872245,0.723194964,0.603593824,0.722380642,1.000563479,0.302488811,0.034623848,37462.83764,39590.47965,40661.83296,3168.796383,2475.627046,3439.639681,1.439898792,0.229114775,0.959544146,4.61348096,6.525134408,3.142055654,5.274951589,5.187532725,5.527248748
Drepanocits,46434,0.841639617,0.912384807,0.643575884,911.046,336.1358586,181.5266702,0.703016227,0.459960413,0.797961018,0.938624394,0.22794556,0.056351195,39929.91515,41674.0547,44169.21084,2510.763487,2301.880212,2293.477084,-0.361653687,-1.412663151,0.079977792,5.015030163,12.90682014,2.334891655,5.220257722,5.071991821,5.174345573
Drepanocits,49999,0.87563103,0.940361106,0.709416989,916.644,367.8856266,177.6816354,0.747773004,0.51701936,0.772709441,0.983731961,0.260105995,0.118747367,46080.49793,46601.82484,48288.63329,1576.605176,1473.666343,1582.156741,0.222695782,-0.121314241,-0.05199817,2.826855022,2.925420485,2.730680171,4.65164513,4.566028178,4.66577375
Drepanocits,42948,0.929987315,0.938425906,0.473334435,938.78,403.8127173,148.4381679,0.612385855,0.632408387,0.623826237,0.990788044,0.349016573,0.144968313,44425.59486,45206.18311,47290.7788,1979.893497,1674.456303,1991.06111,0.229660166,-0.028127885,-0.160919875,3.050123473,3.000212668,2.887540595,4.972951856,4.750228387,4.993418852
Drepanocits,64516,0.738036954,0.992859341,0.714447078,934.04,349.901127,236.0993872,0.929279479,0.325239706,0.929327236,0.999974305,0.140659096,0.091064463,38823.4477,40665.41658,42927.09678,1991.905054,1883.534809,1914.504859,0.353657281,0.209386546,0.337692803,2.742243114,2.972468386,2.914611524,4.970989226,4.914037549,4.92412691
Drepanocits,45234,0.852467154,0.976090803,0.632201258,826.685,332.5018286,173.8255676,0.831753702,0.477219213,0.846059714,0.991509462,0.216829249,0.077199491,39644.02883,41188.11726,41095.57519,2826.469602,2395.278614,3134.801475,0.755409681,0.493968219,0.542594491,3.078931606,3.317770836,2.799764456,5.379435327,5.235733808,5.584841936
Drepanocits,49570,0.947686827,0.980128522,0.702941093,985.928,445.4110521,142.1759325,0.640823429,0.680798373,0.640350513,1.000369195,0.367029697,0.042789463,33307.98144,34372.46334,41269.07081,3073.345104,2907.782792,2930.585013,0.632345635,-0.040741188,0.694381271,3.226987467,5.681698755,3.019825593,5.519754589,5.468690794,5.456099305
